title,keywords,cleaned_genre,semantic_density,emotion_score,entropy,cliche_score
데드 엔드(영화),"촬영, 산삼, 팀, 정, 심마니, 그림자, 미치리, 상국, 조연출, 산",기타,0.63157195,0.0,0.1315172022331585,39.87
두근두근 내 인생(영화),"아름, 세상, 부모, 아이, 대수, 미라, 아들, 나이, 시작, 왕자",기타,0.6309225,0.0,0.1315172022331585,39.83
국제시장(영화),"덕수, 배, 가족, 동생, 난민, 일, 아버지, 엄마, 부산, 말",코미디,0.6303548,0.0,0.1315172022331585,39.79
벤허(2016년 영화),"벤허, 로마, 메살라, 자신, 말, 예수, 집, 용서, 유대인, 여동생",드라마,0.63013333,0.0,0.1315172022331585,39.78
사일런트 힐(영화),"속, 딸, 마을, 사일런트 힐, 거대, 안개, 사이렌, 곳, 로즈, 미스터리",공포,0.6460377,0.0,0.062765440682787,39.7
닥터 슬립(영화)/줄거리,"샤이닝, 워너, 브라더스, 음, 로고, 테마",기타,0.5358885,0.0,0.4999999985573048,39.65
너는 달밤에 빛나고(영화),"빛, 소녀, 소년, 시간, 처음, 발광, 병, 얼마, 롤링, 페이퍼",로맨스,0.6276054,0.0,0.1315172022331585,39.63
이창(영화),"월드, 제프리, 리사, 집, 아내, 밖, 이웃, 자신, 모습, 창문",스릴러,0.6271525,0.0,0.1315172022331585,39.6
슬리피 할로우(영화),"이카보드, 사건, 과학, 슬리피 할로우, 살인, 수사, 분, 뉴욕, 크레인, 마을",공포,0.6432396,0.0,0.062765440682787,39.54
픽시(영화),"픽시, 교수, 미니, 정체, 히어로, 속, 발명, 특수, 팔찌, 천재",코미디,0.62595475,0.0,0.1315172022331585,39.53
워(영화),"로그, 크로포드, 야쿠자, 창, 삼합회, 암살자, 사실, 조직, 시, 시로",기타,0.62580186,0.0,0.1315172022331585,39.52
산책(영화),"영훈, 여자, 극장, 세진, 공연, 자신, 친구, 삶, 총각, 진영",기타,0.6252226,0.0,0.1315172022331585,39.49
형(영화),"형, 석방, 사기, 인생, 보호자, 동생, 핑계, 예측, 형제, 못하",코미디,0.62504905,0.0,0.1315172022331585,39.48
더 기프트(2015년 영화),"고든, 사이먼, 로빈, 집, 부부, 이야기, 발견, 선물, 일, 자신",스릴러,0.62443125,0.0,0.1315172022331585,39.44
라비드(영화),"시작, 치료, 감염, 끔찍하, 귀가, 교통, 모욕, 사고, 파티, 안면",액션,0.6236868,0.0,0.1315172022331585,39.39
라디오 스타(영화),"최고, 방송, 합의금, 신세, 스타, 최곤, 배달, 손, 커피, 매니저",드라마,0.62342674,0.0,0.1315172022331585,39.38
지렁이(영화),"원술, 자야, 폭력, 딸, 외침, 민낯, 처절, 사회, 앞, 좌절",드라마,0.62329966,0.0,0.1315172022331585,39.37
아랑(영화),"민정, 소영, 사건, 현기, 피해자, 서장, 후, 소녀, 강간, 가해자",공포,0.62223136,0.0,0.1315172022331585,39.31
뉴 뮤턴트(영화)/줄거리,"대니얼, 일리야, 레예스, 능력, 바비, 레인, 자신, 아이, 샘, 박사",기타,0.62188524,0.0,0.1315172022331585,39.29
레드(영화),"프랭크, 사라, 은퇴, 요원, 비밀, 이후, 예전, 없, 친밀, 이유",액션,0.48290193,0.3333333322222222,0.1315172022331585,39.28
모히칸족의 최후(영화),"영국, 족, 모히칸, 사랑, 다니엘, 전쟁, 미국, 사령관, 딸, 영국군",전쟁,0.48213917,0.3333333322222222,0.1315172022331585,39.23
더 록(영화),"험멜, 작전, 장군, 자신, 분, 알카트라즈, 해병, 샌프란시스코, 없, 메이슨",액션,0.6208709,0.0,0.1315172022331585,39.23
한니발(영화),"스탈링, 렉터, 자신, 메이슨, 터, 렉, 살해, 큐레이터, 얼굴, 상층부",기타,0.6207189,0.0,0.1315172022331585,39.22
빠삐용(영화),"빠삐용, 드가, 탈출, 간수, 섬, 죄수, 독방, 기아나, 아내, 변호사",기타,0.48170784,0.3333333322222222,0.1315172022331585,39.21
신의 나라(영화),"농장, 일, 인생, 출신, 고용, 루마니아, 날, 조니, 양, 염증",드라마,0.62005836,0.0,0.1315172022331585,39.18
마더(영화),"엄마, 아들, 도준, 범인, 무능, 변호사, 종결, 돈, 사건, 결국",스릴러,0.6196255,0.0,0.1315172022331585,39.15
커터(영화),"세준, 윤재, 은영, 분위기, 적응, 돈, 제안, 낯설, 없, 가담",드라마,0.6195106,0.0,0.1315172022331585,39.14
82년생 김지영(영화),"친정, 날, 엄마, 김지영, 언니, 여성, 빙의",기타,0.5544539,0.0,0.3888037879687394,39.1
나비효과(영화),"닉, 사고, 친구, 두통, 여행, 정신, 청년, 라슨, 줄리, 밀러",스릴러,0.61876863,0.0,0.1315172022331585,39.1
클래식(영화),"주희, 태수, 하, 사실, 결혼, 편지, 자신, 지혜, 집, 목걸이",로맨스,0.618291,0.0,0.1315172022331585,39.07
1987(영화),"사망, 사건, 경찰, 부검, 처장, 박, 반장, 조, 변화, 사람",드라마,0.6179325,0.0,0.1315172022331585,39.05
도리화가(영화),"소리, 선, 신재효, 채, 조선, 없, 여자, 분, 소녀, 정사",기타,0.6177748,0.0,0.1315172022331585,39.04
애자(영화),"애자, 영희, 엄마, 결혼식, 이름, 바람둥이, 남자친구, 경력, 산더미, 당선",기타,0.61761487,0.0,0.1315172022331585,39.03
럭키(영화),"목욕탕, 배우, 삶, 형욱, 재, 명, 자신, 킬러, 성공, 대형",코미디,0.61692554,0.0,0.1315172022331585,38.99
윈체스터(영화),"윈체스터, 방, 부인, 프라이스, 저택, 총기, 제조, 경영, 소견서, 사회",스릴러,0.61581445,0.0,0.1315172022331585,38.92
스플린터(영화),"편의점, 도중, 습격, 숙주, 사내, 준비, 소리, 자동차, 타이어, 텐트",공포,0.61452454,0.0,0.1315172022331585,38.84
도화선(영화),"토니, 윌슨, 형제, 형사, 마, 홍콩, 검거, 액션, 도시, 악행",범죄,0.614519,0.0,0.1315172022331585,38.84
매치 포인트(영화),"운, 크리스, 공, 클로, 노라, 톰, 성공, 사람, 인생, 테니스",스릴러,0.61371535,0.0,0.1315172022331585,38.8
명왕성(2013년 영화),"스터디, 용의자, 그룹, 유진, 공개, 모습, 뒤, 가면, 우등, 인질",스릴러,0.61345845,0.0,0.1315172022331585,38.78
다크 나이트(영화),"배트맨, 조커, 고담, 노릇, 덴트, 정체, 악당, 범죄, 범죄자, 슈퍼히어로",기타,0.47375244,0.3333333322222222,0.1315172022331585,38.73
사랑과 거짓말(영화),"상대, 통지, 시바, 정부, 아오이, 결혼, 때, 공원, 생일, 정책",로맨스,0.6114437,0.0,0.1315172022331585,38.66
비밥바룰라(영화),"동네, 정도, 기본, 프로젝트, 스펙, 예상, 시, 시작, 어벤져스, 버킷 리스트",코미디,0.62750095,0.0,0.062765440682787,38.59
램스(영화),"양, 마을, 형제, 키디, 구미, 시골, 남다르, 한마디, 사연, 말",드라마,0.61011946,0.0,0.1315172022331585,38.58
상류사회(영화),"태준, 수연, 미래, 거래, 기회, 그룹, 선거, 출마, 민국당, 인기",드라마,0.6096646,0.0,0.1315172022331585,38.55
제이슨 본(영화),"제이슨, 기억, 본, 존재, 자신, 완벽, 앞, 치명, 음모, 과거",기타,0.60919327,0.0,0.1315172022331585,38.52
스피드(영화),"잭, 버스, 페인, 경찰, 폭탄, 승객, 애니, 후, 하워드, 지하철",스릴러,0.60904294,0.0,0.1315172022331585,38.52
플레이어(영화),"밀, 작가, 각본, 스튜디오, 편지, 레비, 자신, 협박, 담당",코미디,0.5891347,0.0,0.2075187486729242,38.46
돈(영화),"번호표, 뒤, 부자, 제안, 한지, 검사역, 수석, 사냥개, 없, 수수료",드라마,0.60795045,0.0,0.1315172022331585,38.45
튤립 피버(영화),"배경, 흥망성쇠, 가족, 암스테르담, 묵직하, 열풍, 시대극, 튤립, 드라마",드라마,0.5888721,0.0,0.2075187486729242,38.45
심판(영화),"법정, 마지막, 시작, 의문, 폭발, 싸움, 테러, 하루아침, 남편, 아들",범죄,0.6077874,0.0,0.1315172022331585,38.44
도마뱀(영화),"조강, 아리, 우비, 날, 다음날, 같, 짝, 시간, 리, 세월",로맨스,0.6077727,0.0,0.1315172022331585,38.44
스피드 레이서(영화),"레이서, 스피드, 이름, 로열튼, 프랜차이즈, 레이싱, 기업, 그랑프리, 스폰서, 가문",액션,0.60770696,0.0,0.1315172022331585,38.44
육식동물(영화),"호스티스, 동식, 아내, 종사, 사업, 업계, 부동산, 해방감, 일정, 열등감",기타,0.6065367,0.0,0.1315172022331585,38.36
로라(영화),"로라, 셸비, 수사, 마크, 시체, 다이앤, 형사, 얼굴, 용의자, 라이데커",기타,0.6060968,0.0,0.1315172022331585,38.34
리틀 포레스트(영화),"고향, 혜원, 사계절, 특별, 일상, 겨울, 은숙, 재하, 봄, 끼",드라마,0.60571605,0.0,0.1315172022331585,38.32
분노의 질주(영화),"브라이언, 도미닉, 조니, 경찰, 돔, 트레일러, 폭주족, 자신, 제시, 동료",기타,0.60513556,0.0,0.1315172022331585,38.28
마이 블러디 밸런타인(영화),"탄광, 해리, 책임자, 광산, 장면, 사람, 액슬, 심장, 생매장, 살인마",스릴러,0.60482556,0.0,0.1315172022331585,38.26
도가니(영화),"진실, 청각, 사건, 성폭력, 이야기, 인간, 교사, 학대, 대한민국, 마음",드라마,0.6047877,0.0,0.1315172022331585,38.26
경계선(영화),"티나, 자신, 후각, 보레, 감정, 남자, 능력, 있, 앞, 짐",스릴러,0.60443556,0.0,0.1315172022331585,38.24
창궐(영화),"세상, 조선, 야귀떼, 밤, 창궐, 사관, 종, 박을룡, 조우진, 박",공포,0.6042044,0.0,0.1315172022331585,38.23
